1girl,1人の女の子
gym_shirt,ジムシャツ
paradis_military_uniform,パラダイス軍服
barnaby_brooks_jr.,barnaby_brooks_jrさん
ringlets,リングレット
utility_pole,電柱
surgical_mask,サージカルマスク
splatoon_2,スプラトゥーン2
navel_hair,へそ毛
diamond_(shape),ダイヤモンド（形状）
mona_(genshin_impact),モナ_(原神)
morrigan_aensland,モリガン・アーンスランド
ffm_threesome,2人組の3P
red_buruma,red_buruma
assisted_exposure,補助露出
brown_bow,ブラウンボウ
striped_skirt,ストライプスカート
reverse_grip,リバースグリップ
iowa_(kancolle),アイオワ_(艦これ)
medium_skirt,ミディアムスカート
bat_print,バットプリント
orange_bikini,オレンジビキニ
sleeves_pushed_up,袖をまくった
super_sonico,スーパーソニコ
shushing,シーッ
shorts_pull,ショートパンツ_プル
1980s_(style),1980年代スタイル
see-through_sleeves,シースルースリーブ
death,死
crescent_pin,crescent_pin
print_bow,プリントボウ
holding_wand,杖を持つ
digimon,デジモン
picture_frame,額縁
uterus,子宮
faceless_female,顔のない女性
frilled_hairband,フリルヘアバンド
library,図書館
pearl_necklace,真珠のネックレス
ear_blush,耳が赤くなる
last_origin,最後の起源
uchiwa,団扇
blue_coat,ブルーコート
bb_(fate),bb_(fate)
takagaki_kaede,高垣楓
exhibitionism,露出症
love_live!_nijigasaki_high_school_idol_club,ラブライブ！虹ヶ咲学園スクールアイドル同好会
naka_(kancolle),なか_(艦これ)
shingeki_no_bahamut,しんげきのバハムート
drawing,描画
narukami_yuu,なるかみゆう
cat_cutout,猫の切り抜き
bodypaint,ボディペイント
floating_object,浮動オブジェクト
frilled_pillow,フリル付き枕
ribbon-trimmed_legwear,リボントリムのレッグウェア
ice_cream_cone,アイスクリームコーン
game_console,ゲームコンソール
poster_(object),poster_(オブジェクト)
disembodied_penis,分離したペニス
patreon_logo,パトレオンロゴ
aiguillette,エアギエット
red_wings,レッドウィングス
cookie_(touhou),クッキー_(東方)
yellow_nails,黄色の爪
crack,割れ目
fire_emblem:_the_blazing_blade,ファイアーエムブレム：烈火の剣
graf_zeppelin_(kancolle),graf_zeppelin_(艦これ)
flower_knight_girl,フラワーナイトガール
showgirl_skirt,ショーガールスカート
cropped,切り取られた
wedgie,食い込む
seaport_princess,シーポートプリンセス
kisume,キスメ
colorful,カラフル
kaburagi_t._kotetsu,kaburagi_t._koetsu
single_elbow_glove,片肘用手袋
braided_bun,編み込みのお団子
red_(pokemon),赤_(ポケモン)
wakasagihime,ワカサギヒメ
cross_earrings,クロスイヤリング
sanya_v._litvyak,sanya_v._litvyak
milk,牛乳
red_scrunchie,赤いシュシュ
slime_(substance),スライム（物質）
shirasaka_koume,shirasaka_koume
mandarin_orange,マンダリンオレンジ
white_bloomers,白い花
little_witch_academia,リトルウィッチアカデミア
red_sweater,赤いセーター
mahou_sensei_negima!,魔法先生ネギま！
hand_on_another's_cheek,他人の頬に手を当てる
pyra_(xenoblade),pyra_(ゼノブレイド)
bikini_tan,ビキニタン
dark_elf,ダークエルフ
teacher,教師
sagisawa_fumika,鷺沢文香
heart_background,ハートの背景
minato_aqua,みなとアクア
panty_peek,パンティ覗き
nanami_chiaki,ななみ_ちあき
hestia_(danmachi),ヘスティア_(ダンまち)
evening,夕方
hecatia_lapislazuli,ヘカティア・ラピスラズリ
eila_ilmatar_juutilainen,eila_ilmatar_juutilainen
fish_tail,魚の尾
rei_no_himo,れいのひも
fairy_(kancolle),妖精（艦これ）
atago_(azur_lane),愛宕(アズールレーン)
fate/hollow_ataraxia,fate/ホロウアタラクシア
crab,カニ
mechanical_wings,機械の翼
virgin_killer_sweater,処女キラーセーター
kirby_(series),カービィ_(シリーズ)
monster_boy,モンスターボーイ
maria-sama_ga_miteru,マリア様がみてる
plaid_bow,チェック柄のリボン
cu_chulainn_(fate/stay_night),cu_chulainn_(fate/ステイナイト)
resident_evil,バイオハザード
uruha_rushia,uruha_rushia
yellow_sclera,黄色の強膜
holding_ball,ボールを保持している
gokou_ruri,ごこうるり
kanzaki_ranko,kanzaki_ranko
grabbing_another's_hair,他人の髪を掴む
crotch,股
yellow_shorts,黄色のショートパンツ
red_moon,レッドムーン
toilet,トイレ
braided_bangs,編み込み前髪
lifebuoy,救命浮輪
excalibur_(fate/stay_night),エクスカリバー（fate/ステイナイト）
pince-nez,鼻眼鏡
hu_tao_(genshin_impact),胡桃_(原神)
real_life_insert,実生活の挿入
pixel_art,ピクセルアート
mori_calliope,mori_calliope
meltryllis_(fate),メルトリリス_(fate)
robot_ears,ロボットの耳
knees,膝
takebe_saori,たけべさおり
power_armor,パワーアーマー
chuunibyou_demo_koi_ga_shitai!,中二病でも恋がしたい！
maebari,前張り
employee_uniform,従業員の制服
butterfly_wings,蝶の羽
green_gloves,グリーングローブ
hot,熱い
long_tongue,長い舌
arm_hug,腕を組む
pirate_hat,海賊帽子
i-19_(kancolle),i-19_(艦これ)
split-color_hair,スプリットカラーヘア
final_fantasy_xi,ファイナルファンタジーXI
leaning,傾く
duel,決闘
ash_ketchum,アッシュ・ケッチャム
ebifurya,エビフリャ
magazine_scan,雑誌スキャン
internal_cumshot,中出し
sleeveless_jacket,ノースリーブジャケット
imminent_rape,差し迫ったレイプ
koizumi_hanayo,koizumi_hanayo
frilled_choker,フリルチョーカー
command_spell,コマンドスペル
side_braids,サイドブレイド
steel_ball_run,スティールボールラン
sagging_breasts,垂れ乳
towel_around_neck,首に巻くタオル
official_wallpaper,公式壁紙
whistle,ホイッスル
crow,カラス
kishin_sagume,kishin_sagume
thong_leotard,ひもレオタード
black_horns,黒い角
toradora!,とらドラ！
blue_fire,ブルーファイア
double_handjob,ダブル手コキ
bubble_blowing,シャボン玉を吹く
sode,袖
yagami_hayate,八神速
kotomine_kirei,kotomine_kirei
short_necktie,ショートネクタイ
shy,シャイ
track_pants,トラックパンツ
mind_control,マインドコントロール
leg_ribbon,脚のリボン
medusa_(rider)_(fate),メデューサ（ライダー）（fate）
swimming,水泳
trefoil,三つ葉
princess_peach,プリンセスピーチ
djeeta_(granblue_fantasy),ジータ_(グランブルーファンタジー)
road_sign,道路標識
skirt_suit,スカートスーツ
clone,クローン
bowsette,ボウゼット
ears,耳
kitchen,台所
kaguya-sama_wa_kokurasetai_~tensai-tachi_no_renai_zunousen~,かぐや様は告らせたい_~天才たちの恋愛頭脳戦~
muted_color,ミュートカラー
pointing_up,上向き
multicolored_skin,多色の肌
byleth_(fire_emblem)_(female),バイレス(ファイアーエムブレム)(女性)
striped_scarf,ストライプスカーフ
animal_on_shoulder,肩に乗った動物
clover,クローバー
karyl_(princess_connect!),karyl_(プリンセスコネクト!)
scan_artifacts,スキャンアーティファクト
school,学校
fox_shadow_puppet,キツネの影絵
tekken,鉄拳
romaji_text,ローマ字テキスト
cheek-to-cheek,頬を合わせる
boku_wa_tomodachi_ga_sukunai,僕はともだちがすくない
ikari_shinji,ikari_shinji
zuihou_(kancolle),瑞鳳_(艦これ)
yu-gi-oh!_duel_monsters,遊戯王デュエルモンスターズ
biceps,上腕二頭筋
holding_can,缶を持つ
left-handed,左利き
snk,snk
no_mouth,口がない
v_over_eye,目の上にv_
asymmetrical_sleeves,非対称袖
lake,湖
pussy_peek,プッシーピーク
suitcase,スーツケース
alice_in_wonderland,不思議の国のアリス
eromanga_sensei,エロマンガ先生
bkub,ブクブ
pink_necktie,ピンクのネクタイ
yellow_panties,黄色のパンティー
alien,エイリアン
blood_from_mouth,口からの血
sailor_moon,セーラームーン
earth_(planet),地球（惑星）
stardust_crusaders,スターダストクルセイダーズ
silk,シルク
white_neckerchief,白ネッカチーフ
planted_sword,植えられた剣
sitting_on_bed,ベッドに座っている
whiskers,ひげ
energy_sword,エネルギーソード
nitta_minami,新田南
lily_white,リリーホワイト
torn_dress,破れたドレス
tales_of_vesperia,テイルズオブヴェスペリア
dress_pull,ドレスプル
what,何
i-58_(kancolle),i-58_(艦これ)
blue_bodysuit,青いボディスーツ
yurucamp,ゆるキャン△
naked_sweater,裸のセーター
train,電車
open_hands,開いた手
cat_hood,猫の顔
white_necktie,白ネクタイ
jougasaki_mika,城ヶ崎美香
jacket_removed,ジャケットを削除
belfast_(azur_lane),ベルファスト(アズールレーン)
unaligned_breasts,不揃いの胸
fisheye,魚眼レンズ
yellow_hairband,黄色のヘアバンド
american_flag_legwear,アメリカ国旗レッグウェア
formidable_(azur_lane),素晴らしい(アズールレーン)
zombie_land_saga,ゾンビランドサガ
lunasa_prismriver,lunasa_prismriver
starfish,ヒトデ
spoken_blush,話し言葉の赤面
torn_skirt,破れたスカート
nude_cover,ヌードカバー
hiiragi_tsukasa,ひいらぎつかさ
medicine_melancholy,薬_憂鬱
shrine,神社
dragon_wings,ドラゴンの翼
tsushima_yoshiko,tsushima_よしこ
hand_on_another's_chin,他人の顎に手を当てる
wine_bottle,ワインボトル
kuroki_tomoko,黒木智子
kiryu_coco,桐生ココ
dark_nipples,暗い乳首
evangelion:_3.0_you_can_(not)_redo,エヴァンゲリオン劇場版：3.0 やり直し
nia_teppelin,ニア・テッペリン
gold,金
halter_dress,ホルターネックドレス
stick,スティック
shirogane_naoto,しろがね_なおと
cat_hair_ornament,猫の髪飾り
bandaid_on_nose,鼻に絆創膏
keqing_(genshin_impact),刻晴(原神)
hose,ホース
purple_bodysuit,紫色のボディスーツ
vertical-striped_shirt,縦縞のシャツ
extra_arms,余分な腕
rooftop,屋上
furude_rika,furude_rika
crotchless,股間なし
mitakihara_school_uniform,三滝原の制服
aiming,目指す
locker,ロッカー
shark_tail,サメの尾
demon,悪魔
spider_lily,スパイダーリリー
flexible,フレキシブル
love_live!_school_idol_festival,ラブライブ！スクールアイドルフェスティバル
kanon_(kurogane_knights),カノン(黒鉄騎士)
selene_(pokemon),セレーネ（ポケモン）
kitsune,キツネ
pompadour,ポンパドール
wrench,レンチ
non-human_admiral_(kancolle),非人間提督（艦これ）
zero_no_tsukaima,ゼロの使い魔
maya_(kancolle),maya_(艦これ)
violin,バイオリン
lamia,ラミア
blue_hoodie,青いパーカー
fishing_rod,釣り竿
no_nipples,乳首なし
mythra_(xenoblade),ミスラ（ゼノブレイド）
tiger,虎
houseki_no_kuni,宝石の国
novelty_censor,ノベルティ検閲
fur-trimmed_boots,ファートリムブーツ
print_bowtie,プリントボウタイ
kakyoin_noriaki,kakyoin_noriaki
heart_ahoge,ハートアホゲ
sushi,寿司
against_glass,ガラスに対して
figure,形
brown_vest,茶色のベスト
cammy_white,キャミー・ホワイト
2021,2021
youkai,妖怪
breast_slip,胸スリップ
orange_dress,オレンジドレス
cage,ケージ
jar,瓶
tony_taka,トニー・タカ
sheryl_nome,シェリル・ノーム
smokestack,煙突
cat_paws,猫の足
monster_musume_no_iru_nichijou,モンスター娘のいる日常
banana,バナナ
prinz_eugen_(azur_lane),プリンツ・オイゲン(アズールレーン)
laevatein_(touhou),laevatein_(東方)
pokemon_frlg,ポケモンfrlg
raised_eyebrow,眉毛を上げる
neon_trim,ネオントリム
miyamoto_musashi_(fate),宮本武蔵(fate)
string_of_fate,運命の糸
taking_picture,写真を撮る
heart_pasties,ハートのパスティ
too_many,多すぎる
see-through_silhouette,シースルーシルエット
fresh_precure!,フレッシュプリキュア！
yuri!!!_on_ice,ユーリ!!! on ICE
kirito,キリト
bad_feet,悪い足
spider_web,クモの巣
spread_anus,肛門を広げる
tissue_box,ティッシュボックス
artbook,アートブック
perky_breasts,元気な胸
soap_bubbles,シャボン玉
staring,見つめる
pointing_at_self,自分を指差す
rod_of_remorse,後悔の棒
anastasia_(idolmaster),アナスタシア_(アイドルマスター)
hooded_coat,フード付きコート
heart_necklace,ハートネックレス
backwards_hat,後ろ向きの帽子
shide,紙
kunai,クナイ
armchair,アームチェア
the_legend_of_zelda:_twilight_princess,ゼルダの伝説：トワイライトプリンセス
dc_comics,DCコミック
husband_and_wife,夫婦
winter_uniform,冬の制服
kissing_cheek,頬にキス
thorns,とげ
needle,針
orange_headwear,オレンジ色の帽子
yellow_gloves,黄色い手袋
amiya_(arknights),amiya_(アークナイツ)
light_brown_eyes,明るい茶色の目
leotard_under_clothes,レオタードの下
opaque_glasses,不透明なメガネ
blue_hakama,青いはかま
:>=,:>=
o-ring_bottom,Oリング底
wizard_hat,ウィザードハット
;q,;q
afloat,浮かんでいる
sideways_mouth,横向きの口
midorikawa_nao,みどりかわなお
date_a_live,デート・ア・ライブ
calligraphy_brush,書道筆
slave,奴隷
shop,店
single_bare_shoulder,片肩露出
evangelion:_2.0_you_can_(not)_advance,エヴァンゲリオン：2.0 進めない
striped_bra,ストライプブラ
holding_own_arm,自分の腕を持つ
frilled_collar,フリルカラー
ishtar_(fate),イシュタル_(fate)
aran_sweater,アランセーター
leather_jacket,レザージャケット
waver_velvet,ウェーバーベルベット
meiji_schoolgirl_uniform,明治の女子高生の制服
idolmaster_million_live!_theater_days,アイドルマスターミリオンライブ！シアターデイズ
brand_name_imitation,ブランド名模倣
animification,アニメーション化
very_dark_skin,非常に黒い肌
character_profile,キャラクタープロフィール
hagiwara_yukiho,はぎわらゆきほ
miura_azusa,三浦あずさ
blue_buruma,ブルーブルマ
concept_art,コンセプトアート
space_craft,宇宙船
unsheathed,抜かれた
defloration,処女喪失
toe_scrunch,つま先をすぼめる
cum_pool,兼プール
american_flag,アメリカの国旗
back_cutout,バックカットアウト
collaboration,コラボレーション
taihou_(azur_lane),大鳳_(アズールレーン)
wide_image,ワイド画像
adjusting_swimsuit,水着の調整
fog,霧
octopus,タコ
kuma_(kancolle),kuma_(艦これ)
carrot_hair_ornament,にんじんの髪飾り
mascara,マスカラ
kuromorimine_military_uniform,黒森峰の軍服
stocking_(psg),ストッキング_(psg)
capri_pants,カプリパンツ
blood_on_hands,血まみれの手
sleeveless_kimono,ノースリーブ着物
projectile_cum,発射体兼
showering,シャワー
on_desk,机上
klee_(genshin_impact),クレー_(原神)
coffee_mug,コーヒーマグ
tile_wall,タイル壁
multicolored_skirt,マルチカラースカート
drum,ドラム
pantylines,パンティライン
gae_bolg_(fate),gae_bolg_(fate)
bremerton_(azur_lane),ブレマートン(アズールレーン)
barcode,バーコード
macaron,マカロン
hair_tucking,ヘアタック
sirius_(azur_lane),シリウス(アズールレーン)
puddle,水たまり
interface_headset,インターフェースヘッドセット
weapon_on_back,背中に武器を装備
fat_man,太った男
horror_(theme),ホラー(テーマ)
horn_bow,角弓
unicorn_(azur_lane),ユニコーン(アズールレーン)
purple_rose,紫のバラ
ambiguous_gender,曖昧な性別
father_and_son,父と息子
contrail,飛行機雲
multiple_crossover,複数のクロスオーバー
gardevoir,ガーディヴォア
torn_pants,破れたパンツ
pink_skin,ピンクの肌
kise_yayoi,きせやよい
energy,エネルギー
nekomata_okayu,nekomata_okayu
murasame_(kancolle),murasame_(艦これ)
yohane,ヨハネ
bound_legs,縛られた脚
ichinose_shiki,一ノ瀬式
iskandar_(fate),イスカンダル_(fate)
sheep,羊
map,地図
cream,クリーム
transformers,変圧器
beatrice_(umineko),ベアトリス_(うみねこ)
binoculars,双眼鏡
banner,バナー
arm_around_shoulder,肩に腕を回す
print_dress,プリントドレス
corrin_(fire_emblem),コリン（ファイアーエムブレム）
blue_sleeves,ブルースリーブ
ninomae_ina'nis,ninomae_ina'nis
policewoman,女性警察官
pokemon_rse,ポケモンRSE
stylus,スタイラス
glowing_weapon,光る武器
mask_removed,マスクが削除されました
blue_butterfly,青い蝶
american_flag_dress,アメリカ国旗のドレス
holding_paper,紙を保持している
chest_tattoo,胸のタトゥー
hands_in_opposite_sleeves,反対側の袖に手を突っ込む
working!!,働く！！
katyusha_(girls_und_panzer),カチューシャ（ガールズ＆パンツァー）
sayonara_zetsubou_sensei,さよなら_絶望先生
lightning_bolt_symbol,稲妻のシンボル
mercy_(overwatch),マーシー_(オーバーウォッチ)
rapier,レイピア
haruno_sakura,春野さくら
purple_umbrella,紫色の傘
green_leotard,緑のレオタード
taihou_(kancolle),大鳳_(艦これ)
school_chair,スクールチェア
happy_halloween,ハッピーハロウィン
uranohoshi_school_uniform,ウラノホシの制服
explosive,爆発的な
sake_bottle,酒瓶
stitched,縫い付けられた
baozi,包子
charlotte_(madoka_magica),シャルロット（魔法少女まどか☆マギカ）
brown_cardigan,茶色のカーディガン
leaning_on_person,人に寄りかかる
furisode,振袖
fur_hat,毛皮の帽子
ryuuguu_rena,龍宮レナ
grabbing_own_ass,自分のお尻を掴む
detached_wings,分離した翼
jonathan_joestar,ジョナサン・ジョースター
dark_blue_hair,濃い青髪
watson_amelia,ワトソン・アメリア
fire_emblem:_mystery_of_the_emblem,ファイアーエムブレム：紋章の謎
pole,ポール
oshino_shinobu,おしのしのぶ
cleft_of_venus,金星の裂け目
lineup,並ぶ
holding_shield,シールドを保持している
green_pants,緑のパンツ
boy_on_top,上の男の子
giorno_giovanna,ジョルノ・ジョヴァンナ
caterpillar_tracks,キャタピラートラック
happinesscharge_precure!,ハピネスチャージプリキュア！
kingdom_hearts,キングダムハーツ
looking_ahead,先を見据えて
1koma,1コマ
lucina_(fire_emblem),ルキナ（ファイアーエムブレム）
reizei_mako,冷泉麻子
half-closed_eye,半目
naganami_(kancolle),長波（艦これ）
akizuki_ritsuko,akitsuki_ritsuko
shikishi,色紙
yahari_ore_no_seishun_lovecome_wa_machigatteiru.,やハリオレの青春ラブカムはまちがっている。
red_sailor_collar,赤いセーラーカラー
basketball,バスケットボール
mankanshoku_mako,mankansoku_mako
fusou_(kancolle),fusou_(艦これ)
brown_scarf,茶色のスカーフ
pyonta,ぴょんた
submerged,水没した
yumemi_riamu,yumemi_riamu
kay_(girls_und_panzer),kay_(ガールズ&パンツァー)
black_cloak,黒マント
light_purple_eyes,薄紫色の目
gekkoukan_high_school_uniform,月光館高校の制服
metal_gear_(series),メタルギアシリーズ
bikini_lift,ビキニリフト
chicken,チキン
gradient_eyes,グラデーションアイズ
print_gloves,プリント手袋
scope,範囲
grey_cardigan,グレーのカーディガン
nintendo_switch,ニンテンドースイッチ
vastaya,ヴァスタヤ
ahri_(league_of_legends),アーリ（リーグ・オブ・レジェンド）
satonaka_chie,Satoka_chie
yamakaze_(kancolle),山風（艦これ）
food_print,食べ物印刷
energy_gun,エネルギーガン
green_sailor_collar,緑のセーラーカラー
lelouch_lamperouge,ルルーシュ・ランペルージュ
kujo_jolyne,九条ジョーリン
multiple_hair_bows,複数のヘアリボン
improvised_gag,即興ギャグ
anal_tail,アナルテール
ereshkigal_(fate),エレシュキガル_(fate)
striped_tail,縞模様の尾
komaeda_nagito,komaeda_nagito
food_focus,食べ物に焦点を当てる
mother_and_son,母と息子
purple_necktie,紫色のネクタイ
bandage_over_one_eye,片目に包帯を巻く
pouring,注ぐ
milestone_celebration,マイルストーンのお祝い
thigh_grab,太ももを掴む
bandaid_on_knee,膝に絆創膏
hatching_(texture),ハッチング_(テクスチャ)
open_door,オープンドア
paper_bag,紙袋
monster_hunter_(character),モンスターハンター(キャラクター)
spice_and_wolf,狼と香辛料
hyouka,氷菓
sakurauchi_riko,sakurauchi_riko
shimada_arisu,shimada_arisu
riding_crop,乗馬用クロップ
green_bowtie,緑の蝶ネクタイ
orange_bodysuit,オレンジボディスーツ
yellow_headwear,黄色の帽子
blue_wings,青い翼
striker_unit,ストライカーユニット
open-chest_sweater,胸元が開いたセーター
candy_apple,キャンディアップル
colored_pubic_hair,色のついた陰毛
piggyback,ピギーバック
animal_nose,動物の鼻
steepled_fingers,尖った指
toeless_footwear,つま先のない履物
inugami_korone,犬神ころね
son_goku,孫悟空
backboob,バックバスト
multiple_wings,複数の翼
uneven_eyes,目が不均一
darkness,暗闇
nightcap,寝酒
bra_removed,ブラジャーを外しました
left-to-right_manga,左から右へのマンガ
bird_tail,鳥のしっぽ
egyptian,エジプト人
misty_(pokemon),ミスティ（ポケモン）
kousaka_kirino,こうさかきりの
circle,丸
waist_bow,ウエストボウ
futaba_anzu,futaba_anzu
shirai_kuroko,shirai_kuroko
animal_crossing,動物の交差点
mikasa_ackerman,ミカサ・アッカーマン
bra_visible_through_clothes,服越しにブラが見える
kanon,カノン
samurai_spirits,サムライスピリッツ
finger_in_mouth,口に指を入れる
medical_eyepatch,医療用眼帯
lower_body,下半身
chewing_gum,チューインガム
pith_helmet,ピスヘルメット
5koma,5コマ
florence_nightingale_(fate),フローレンス・ナイチンゲール（fate）
takanashi_kiara,takanashi_kiara
skadi_(arknights),skadi_(アークナイツ)
uzumaki_naruto,うずまきナルト
frilled_gloves,フリル手袋
baggy_pants,バギーパンツ
holding_candy,キャンディーを持っている
unzan,雲山
alice_(alice_in_wonderland),アリス（不思議の国のアリス）
wide_ponytail,ワイドポニーテール
painting_(object),絵画_(オブジェクト)
hoto_cocoa,ほとココア
z1_leberecht_maass_(kancolle),z1_leberecht_maass_(艦これ)
spread_ass,スプレッド・アス
idolmaster_side-m,アイドルマスター SideM
envelope,封筒
bat_hair_ornament,コウモリの髪飾り
emiya_kiritsugu,エミヤ_キリツグ
framed,額装
diarmuid_ua_duibhne_(lancer)_(fate),ディアームイド_ア_ドゥイブネ_(ランサー)_(fate)
bikini_aside,ビキニサイド
yugake,ゆがけ
strapless_bikini,ストラップレスビキニ
speaker,スピーカー
hidamari_sketch,ひだまりスケッチ
parfait,パフェ
i-401_(kancolle),i-401_(艦これ)
hyuuga_hinata,日向日向
machikado_mazoku,machikado_mazoku
japari_symbol,ジャパリシンボル
photo_background,写真の背景
tassel_earrings,タッセルイヤリング
holding_pen,ペンを持つ
food_on_head,頭に食べ物
plantar_flexion,足底屈曲
gas_mask,ガスマスク
floor,床
kumano_(kancolle),kumano_(艦これ)
sennen_sensou_aigis,sennen_sensou_aigis
ghost_tail,ゴーストテール
akigumo_(kancolle),秋雲_(艦これ)
purple_hairband,紫色のヘアバンド
hand_under_clothes,服の下の手
open_dress,オープンドレス
green_bra,グリーンブラ
gothic,ゴシック
kirby,カービー
millipen_(medium),ミリペン_(中)
erica_hartmann,エリカ・ハートマン
doremy_sweet,ドレミー・スウィート
button_gap,ボタンの隙間
armpit_hair,脇毛
sailor_bikini,セーラービキニ
hiding,隠蔽
recording,録音
shoulder_carry,肩に担ぐ
pink_leotard,ピンクのレオタード
no_pussy,猫なし
drop_shadow,ドロップシャドウ
striped_swimsuit,ストライプの水着
holding_broom,ほうきを持つ
motoori_kosuzu,motoori_kosuzu
rebecca_(keinelove),レベッカ（キーンラブ）
a1,a1
surreal,シュール
ayanami_(azur_lane),綾波(アズールレーン)
mini_wings,ミニウィングス
digimon_(creature),デジモン（クリーチャー）
holo,ホロ
z3_max_schultz_(kancolle),z3_max_schultz_(艦これ)
bamboo_forest,竹林
venti_(genshin_impact),ウェンティ_(原神)
blood_on_weapon,武器に血がついた
eiyuu_densetsu,英雄伝説
hayate_no_gotoku!,ハヤテのごとく！
heart_choker,ハートチョーカー
commander_(azur_lane),指揮官(アズールレーン)
object_namesake,オブジェクト名の由来
aqua_(konosuba),アクア_(このすば)
fur-trimmed_headwear,毛皮で縁取られた帽子
treble_clef,ト音記号
feet_up,足を上げる
pink_scarf,ピンクのスカーフ
takarada_rikka,タカラダ・リッカ
battle_tendency,戦闘傾向
common_raccoon_(kemono_friends),けものフレンズ
remote_control,リモートコントロール
heart_in_mouth,心臓がドキドキする
miyafuji_yoshika,みやふじ_よしか
mario,マリオ
warspite_(kancolle),ウォースパイト（艦これ）
final_fantasy_vii_remake,ファイナルファンタジーVII リメイク
throwing,投げる
ribbed_dress,リブドレス
promotional_art,プロモーションアート
underboob_cutout,アンダーバストカットアウト
sword_of_hisou,秘剣
arm_belt,アームベルト
maekawa_miku,前川みく
frilled_hat,フリル付き帽子
finger_gun,指銃
black_suit,黒のスーツ
alternate_legwear,代替レッグウェア
pink_shorts,ピンクのショートパンツ
aoba_(kancolle),あおば_(艦これ)
shovel,シャベル
pokemon_adventures,ポケモンアドベンチャー
sekaiju_no_meikyuu,世界樹の迷宮
orange_jacket,オレンジジャケット
chemise,シュミーズ
lemon,レモン
extra,余分な
middle_finger,中指
go!_princess_precure,go!プリンセスプリキュア
world_war_ii,第二次世界大戦
paizuri_under_clothes,パイズリ下着
megaphone,メガホン
serena_(pokemon),セレナ（ポケモン）
stomach_bulge,お腹の膨らみ
shirt_tug,シャツ引っ張り合い
uneven_gloves,不均一な手袋
office_chair,オフィスチェア
dark_souls_(series),ダークソウルシリーズ
holding_bowl,ボウルを持つ
gloom_(expression),gloom_(表情)
letterman_jacket,レターマンジャケット
newspaper,新聞
street_fighter_v,ストリートファイターV
mountainous_horizon,山岳地平線
kara_no_kyoukai,からの境界
keyboard_(computer),キーボード（コンピューター）
aoki_reika,青木れいか
hair_strand,髪の毛
puppet,人形
warugaki_(sk-ii),warugaki_(sk-ii)
edelgard_von_hresvelg,edelgard_von_hresvelg
numbered,番号付き
fire_emblem:_path_of_radiance,ファイアーエムブレム：光の道
closed_fan,閉じたファン
seagull,カモメ
ichimi,一味
black_flower,黒花
rubber_duck,ラバーダック
usami_sumireko,うさみれこ
jack_the_ripper_(fate/apocrypha),ジャック・ザ・リッパー(fate/アポクリファ)
stage,ステージ
hyuuga_(kancolle),日向（艦これ）
elizabeth_bathory_(fate),エリザベス・バソリー（fate）
earbuds,イヤホン
asakura_ryouko,朝倉涼子
bunny_print,バニープリント
fate/prototype:_fragments_of_blue_and_silver,fate/プロトタイプ:蒼銀のフラグメント
panda,パンダ
polos_crown,ポロスクラウン
knees_on_chest,膝を胸に乗せる
shirogane_noel,しろがね_のえる
ranma_1/2,らんま1/2
kirisawa_juuzou,キリサワ_ジュウゾウ
clothes_grab,服を掴む
hair_twirling,髪をくるくる回す
squirrel_ears,リスの耳
magazine_cover,雑誌の表紙
grabbing_another's_ass,他人の尻を掴む
pizza,ピザ
kagerou_(kancolle),kagerou_(艦これ)
loose_necktie,ルーズネクタイ
chips,チップス
2015,2015
texas_(arknights),texas_(アークナイツ)
cat_ear_panties,猫耳パンツ
gym_shorts,ジムショーツ
kokkoro_(princess_connect!),コッコロ（プリンセスコネクト！）
st._gloriana's_school_uniform,聖グロリアナの学校の制服
mochi,餅
carnelian,カーネリアン
yuki_miku,ゆきみく
yellow_sweater,黄色のセーター
aisaka_taiga,逢坂大河
orange_choker,オレンジチョーカー
makise_kurisu,makise_kurisu
holding_pokemon,ポケモンを持っている
transformation,変換
holding_underwear,下着を持っている
shotgun,ショットガン
ruby_rose,ルビーローズ
licking_finger,指を舐める
spandex,スパンデックス
framed_breasts,フレーム付き胸
m.u.g.e.n,ムゲン
magazine_(weapon),マガジン_(武器)
kiyohime_(fate),清姫_(fate)
elbow_rest,肘置き
orange_hairband,オレンジ色のヘアバンド
zouri,ゾウリ
hair_beads,ヘアビーズ
yunomi,ゆのみ
shakugan_no_shana,灼眼のシャナ
blue-framed_eyewear,青いフレームの眼鏡
swim_trunks,水泳パンツ
calendar_(medium),カレンダー_(中)
fennec_(kemono_friends),フェネック（けものフレンズ）
gertrud_barkhorn,gertrud_barkhorn
quarter_note,四分音符
paint_splatter,ペイントスプラッター
hand_on_own_arm,自分の腕に手を当てる
ruu_(tksymkw),ruu_(tksymkw)
sleeves_folded_up,袖を折り畳んだ状態
miniboy,ミニボーイ
magia_record:_mahou_shoujo_madoka_magica_gaiden,magia_record:_mahou_shoujo_madoka_magica_gaiden
ouma_kokichi,ouma_kokichi
narmaya_(granblue_fantasy),ナルマヤ(グランブルーファンタジー)
bow_hairband,リボンヘアバンド
collage,コラージュ
arm_rest,アームレスト
ump45_(girls'_frontline),ump45_(ガールズフロントライン)
holding_another's_arm,他人の腕を握る
metal_collar,金属製の首輪
jintsuu_(kancolle),神通_(艦これ)
accelerator_(toaru_majutsu_no_index),アクセラレータ_(とある魔術のインデックス)
in_tree,インツリー
hands_on_another's_shoulders,他人の肩に手を添える
butt_plug,アナルプラグ
flaccid,弛緩
